amount,transaction_type,tx_category,device_id_hash,sim_change_frequency,network_type,new_device_login,time_since_login_seconds,is_smurf_pattern,recent_cashins_24h,is_post_downtime,receiver_risk_score,is_legit_merchant,is_mule_destination,merchant_name_risk,Token_latency_seconds,geo_velocity_kmh,distance_from_last_cashout_km,transaction_hour,is_night_transaction,cashout_interval_hours,amount_normalized,is_new_device,distance_km,time_since_last_tx,tx_count_last_10s,tx_count_last_1min,token_age,geo_speed,merchant_type,is_night,transaction_hour_legacy,merchant_risk_score,fraud_label
184.12,airtime_topup,utilities,f0fcd136,2,0,0,0,0,2,0,0.25,1,0,0,18,35.75,235.67,13.135495571237684,0,6.6,1.84,0,235.67,23731,0,2,18,35.75,0,0,13.135495571237684,0.75,0
356.12,merchant_payment,cash_ops,9c636873,12,0,0,0,0,5,0,0.51,1,0,0,102,6.92,104.56,17.451965805970744,0,15.1,3.56,0,104.56,54393,0,5,102,6.92,0,0,17.451965805970744,0.49,1
178.99,p2p_transfer,p2p,20252881,2,0,0,0,0,4,0,0.2,1,0,0,143,0.0,0.0,11.330720780846686,0,13.5,1.79,0,0.0,48661,0,4,143,0.0,0,0,11.330720780846686,0.8,0
269.67,airtime_topup,utilities,262a8e34,0,0,0,0,0,4,0,0.23,1,0,0,81,19.54,358.4,4.0,1,18.3,2.7,0,358.4,66024,0,4,81,19.54,0,1,4.0,0.77,1
43.03,cash_in_agent,cash_ops,426d5a6b,4,0,0,0,0,1,0,0.27,1,0,0,59,22.26,157.74,13.34668254992113,0,7.1,0.43,0,157.74,25510,0,1,59,22.26,0,0,13.34668254992113,0.73,0
621.21,cash_in_agent,cash_ops,42026b9e,5,0,0,0,0,1,0,0.07,1,0,0,22,25.74,325.4,12.67226465639285,0,12.6,6.21,0,325.4,45510,0,1,22,25.74,0,0,12.67226465639285,0.93,1
500.0,p2p_transfer,p2p,bbc8a90d,2,0,0,0,0,4,0,0.27,1,0,0,112,0.0,0.0,6.596447024191892,0,20.0,5.0,0,0.0,72093,0,4,112,0.0,0,0,6.596447024191892,0.73,0
125.52,cash_out_agent,cash_ops,a8aa026d,4,1,0,0,0,3,0,0.08,0,0,1,110,24.07,325.4,7.5662914191606925,0,13.5,1.26,0,325.4,48671,0,3,110,24.07,1,0,7.5662914191606925,0.92,1
263.7,p2p_transfer,p2p,fca48d4c,3,1,0,0,0,2,0,0.04,1,0,0,106,97.71,235.67,15.24588569496569,0,2.4,2.64,0,235.67,8683,0,2,106,97.71,0,0,15.24588569496569,0.96,0
167.35,bill_payment,utilities,389d4cf4,5,0,0,0,0,3,0,0.19,0,0,1,130,0.0,0.0,13.9737641786914,0,11.2,1.67,0,0.0,40345,0,3,130,0.0,1,0,13.9737641786914,0.81,1
86.96,cash_in_agent,cash_ops,497d3077,1,1,0,0,0,2,0,0.19,1,0,0,159,0.0,0.0,0.04072016432358083,0,16.2,0.87,0,0.0,58227,0,2,159,0.0,0,0,0.04072016432358083,0.81,0
44.24,p2p_transfer,p2p,879a071e,3,0,0,0,0,2,0,0.3,1,0,0,84,105.76,358.4,21.0,1,3.4,0.44,0,358.4,12200,0,2,84,105.76,0,1,21.0,0.7,1
298.3,cash_out_agent,cash_ops,5c384f7a,4,0,0,0,0,2,0,0.14,1,0,0,121,170.24,375.18,0.0,1,2.2,2.98,0,375.18,7934,0,2,121,170.24,0,1,0.0,0.86,1
112.48,bill_payment,utilities,f5a29207,3,0,0,0,0,1,0,0.15,1,0,0,157,25.13,472.26,13.973174583060558,0,18.8,1.12,0,472.26,67666,0,1,157,25.13,0,0,13.973174583060558,0.85,0
296.11,airtime_topup,utilities,592c826e,2,1,0,0,0,7,0,0.28,1,0,0,103,110.63,221.18,11.565553666882847,0,2.0,2.96,0,221.18,7197,0,7,103,110.63,0,0,11.565553666882847,0.72,1
374.49,cash_out_agent,cash_ops,3185d9a1,5,1,0,0,0,3,0,0.11,1,0,0,170,38.73,225.32,12.604324239798853,0,5.8,3.74,0,225.32,20942,0,3,170,38.73,0,0,12.604324239798853,0.89,0
165.06,cash_out_agent,cash_ops,e562e549,2,0,0,0,0,1,0,0.04,0,0,1,69,18.12,320.87,7.59472636108576,0,17.7,1.65,0,320.87,63761,0,1,69,18.12,1,0,7.59472636108576,0.96,1
139.14,bill_payment,utilities,8d6e4e4a,4,1,0,0,0,3,0,0.26,1,0,0,77,0.0,0.0,2.0,1,23.2,1.39,0,0.0,83429,0,3,77,0.0,0,1,2.0,0.74,0
177.09,p2p_transfer,p2p,8b3b908e,5,0,1,1432,0,5,0,0.14,0,0,1,137,73.12,472.26,11.428447369728278,0,6.5,1.77,1,472.26,23251,0,5,137,73.12,1,0,11.428447369728278,0.86,1
600.0,p2p_transfer,utilities,cae03056,16,0,0,0,1,6,0,0.54,1,0,0,176,19.56,358.4,17.20197759696369,0,18.3,6.0,0,358.4,65955,1,6,176,19.56,0,0,17.20197759696369,0.46,1
159.84,cash_out_agent,cash_ops,7c04a46b,4,1,0,0,0,2,0,0.28,0,0,1,83,51.72,472.26,9.957927866114053,0,9.1,1.6,0,472.26,32872,0,2,83,51.72,1,0,9.957927866114053,0.72,1
223.29,merchant_payment,merchant,389d4cf4,2,0,0,0,0,1,0,0.19,0,0,1,23,0.0,0.0,6.872473698684045,0,23.6,2.23,0,0.0,84950,0,1,23,0.0,1,0,6.872473698684045,0.81,1
71.37,airtime_topup,utilities,d93234e2,3,0,1,3088,0,2,0,0.19,1,0,0,109,0.0,0.0,23.0,1,13.5,0.71,1,0.0,48514,0,2,109,0.0,0,1,23.0,0.81,0
134.55,cash_out_agent,cash_ops,bba650d8,0,0,0,0,0,2,0,0.08,1,0,0,75,0.0,0.0,13.710733869872545,0,17.5,1.35,0,0.0,62851,0,2,75,0.0,0,0,13.710733869872545,0.92,0
